"","names.best_clu.cluster.","best_clu.cluster"
"1433","1433",6
"1434","1434",3
"1435","1435",3
"1436","1436",3
"1437","1437",3
"1438","1438",3
"1439","1439",3
"1440","1440",3
"1441","1441",3
"1442","1442",3
"1443","1443",3
"1444","1444",3
"1445","1445",3
"1446","1446",3
"1447","1447",3
"1448","1448",3
"1449","1449",3
"1450","1450",3
"1451","1451",3
"1452","1452",3
"1453","1453",3
"1454","1454",3
"1455","1455",4
"1456","1456",4
"1457","1457",4
"1458","1458",4
"1459","1459",4
"1460","1460",4
"1461","1461",4
"1462","1462",4
"1463","1463",4
"1464","1464",4
"1465","1465",4
"1466","1466",4
"1467","1467",4
"1468","1468",4
"1469","1469",4
"1470","1470",4
"1471","1471",4
"1472","1472",4
"1473","1473",4
"1474","1474",4
"1475","1475",4
"1476","1476",4
"1477","1477",4
"1478","1478",4
"1479","1479",4
"1480","1480",4
"1481","1481",4
"1482","1482",4
"1483","1483",6
"1484","1484",6
"1485","1485",6
"1486","1486",6
"1487","1487",3
"1488","1488",3
"1489","1489",3
"1490","1490",4
"1491","1491",4
"1492","1492",4
"1493","1493",4
"1494","1494",4
"1495","1495",4
"1496","1496",6
"1497","1497",6
"1498","1498",2
"1499","1499",6
"1500","1500",3
"1501","1501",3
"1502","1502",3
"1503","1503",4
"1504","1504",4
"1505","1505",4
"1506","1506",4
"1507","1507",4
"1508","1508",4
"1509","1509",3
"1510","1510",3
"1511","1511",3
"1512","1512",3
"1513","1513",3
"1514","1514",3
"1515","1515",3
"1516","1516",4
"1517","1517",4
"1518","1518",4
"1519","1519",4
"1520","1520",4
"1521","1521",4
"1522","1522",4
"1523","1523",4
"1524","1524",4
"1525","1525",4
"1526","1526",4
"1527","1527",4
"1528","1528",4
"1529","1529",4
"1530","1530",3
"1531","1531",3
"1532","1532",3
"1533","1533",3
"1534","1534",3
"1535","1535",3
"1536","1536",3
"1537","1537",3
"1538","1538",3
"1539","1539",3
"1540","1540",3
"1541","1541",3
"1542","1542",3
"1543","1543",3
"1544","1544",4
"1545","1545",4
"1546","1546",4
"1547","1547",4
"1548","1548",4
"1549","1549",4
"1550","1550",4
"1551","1551",4
"1552","1552",4
"1553","1553",4
"1554","1554",4
"1555","1555",4
"1556","1556",4
"1557","1557",4
"1558","1558",4
"1559","1559",4
"1560","1560",4
"1561","1561",4
"1562","1562",4
"1563","1563",4
"1564","1564",4
"1565","1565",4
"1566","1566",4
"1567","1567",4
"1568","1568",4
"1569","1569",4
"1570","1570",4
"1571","1571",4
"1572","1572",2
"1573","1573",2
"1574","1574",2
"1575","1575",2
"1576","1576",2
"1577","1577",2
"1578","1578",2
"1579","1579",2
"1580","1580",6
"1581","1581",6
"1582","1582",2
"1583","1583",6
"1584","1584",6
"1585","1585",5
"1586","1586",5
"1587","1587",5
"1588","1588",5
"1589","1589",1
"1590","1590",5
"1591","1591",5
"1592","1592",5
"1593","1593",1
"1594","1594",1
"1595","1595",1
"1596","1596",1
"1597","1597",3
"1598","1598",2
"1599","1599",2
"1600","1600",5
"1601","1601",5
"1602","1602",3
"1603","1603",5
"1604","1604",5
"1605","1605",3
"1606","1606",3
"1607","1607",3
"1608","1608",3
"1609","1609",3
"1610","1610",3
"1611","1611",4
"1612","1612",4
"1613","1613",4
"1614","1614",4
"1615","1615",4
"1616","1616",4
"1617","1617",4
"1618","1618",4
"1619","1619",4
"1620","1620",4
"1621","1621",4
"1622","1622",4
"1623","1623",4
"1624","1624",4
"1625","1625",2
"1626","1626",2
"1627","1627",6
"1628","1628",2
"1629","1629",2
"1630","1630",2
"1631","1631",2
"1632","1632",4
"1633","1633",4
"1634","1634",5
"1635","1635",5
"1636","1636",1
"1637","1637",4
"1638","1638",5
"1639","1639",4
"1640","1640",4
"1641","1641",4
"1642","1642",4
"1643","1643",4
"1644","1644",5
"1645","1645",5
"1646","1646",5
"1647","1647",5
"1648","1648",5
"1649","1649",5
"1650","1650",5
"1651","1651",3
"1652","1652",1
"1653","1653",1
"1654","1654",1
"1655","1655",1
"1656","1656",1
"1657","1657",1
"1658","1658",2
"1659","1659",2
"1660","1660",4
"1661","1661",4
"1662","1662",4
"1663","1663",4
"1664","1664",2
"1665","1665",3
"1666","1666",3
"1667","1667",3
"1668","1668",3
"1669","1669",3
"1670","1670",3
"1671","1671",3
"1672","1672",4
"1673","1673",4
"1674","1674",4
"1675","1675",4
"1676","1676",4
"1677","1677",4
"1678","1678",4
"1679","1679",4
"1680","1680",4
"1681","1681",4
"1682","1682",4
"1683","1683",4
"1684","1684",4
"1685","1685",4
"1686","1686",4
"1687","1687",4
"1688","1688",4
"1689","1689",4
"1690","1690",4
"1691","1691",4
"1692","1692",4
"1693","1693",4
"1694","1694",4
"1695","1695",4
"1696","1696",4
"1697","1697",5
"1698","1698",1
"1699","1699",1
"1700","1700",1
"1701","1701",1
"1702","1702",1
"1703","1703",1
"1704","1704",4
"1705","1705",4
"1706","1706",4
"1707","1707",3
"1708","1708",3
"1709","1709",3
"1710","1710",3
"1711","1711",3
"1712","1712",3
"1713","1713",3
"1714","1714",3
"1715","1715",3
"1716","1716",3
"1717","1717",3
"1718","1718",3
"1719","1719",3
"1720","1720",3
"1721","1721",3
"1722","1722",3
"1723","1723",3
"1724","1724",3
"1725","1725",3
"1726","1726",3
"1727","1727",3
"1728","1728",4
"1729","1729",4
"1730","1730",4
"1731","1731",4
"1732","1732",4
"1733","1733",4
"1734","1734",4
"1735","1735",4
"1736","1736",2
"1737","1737",6
"1738","1738",2
"1739","1739",2
"1740","1740",6
"1741","1741",5
"1742","1742",2
"1743","1743",3
"1744","1744",3
"1745","1745",3
"1746","1746",3
"1747","1747",3
"1748","1748",3
"1749","1749",3
"1750","1750",3
"1751","1751",3
"1752","1752",3
"1753","1753",3
"1754","1754",3
"1755","1755",3
"1756","1756",3
"1757","1757",3
"1758","1758",3
"1759","1759",3
"1760","1760",3
"1761","1761",3
"1762","1762",3
"1763","1763",3
"1764","1764",4
